,SMILES
0,NCc1cccnc1
1,c1ccc2c(c1)CCc1cccc3c1C2CN1CCCCC31
2,Cc1oc2c(C)c3oc(=O)cc(C)c3cc2c1COCCN
3,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N1C[C@@H](O)[C@@H](O)C1)c1cc2cc(Cl)ccc2[nH]1
4,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)C2(F)F)c(=O)n1
5,CC(C)(C)[C@H](NC(=O)c1ccc(N)c(Cl)c1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CC(=O)O
6,O=C1O[C@H]([C@@H](O)CO)C(O)=C1[O-].O=C1O[C@H]([C@@H](O)CO)C(O)=C1[O-].[Ca+2]
7,C=CCC(Cc1cc(OC)c(OC)c(OC)c1)NC
8,C[C@@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
9,CC(C)CCC(=O)CCC1(C)[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2C
10,CC1(C)OC(=O)Nc2ccc(Br)cc21
11,O=C(c1ccc(F)cc1)C1CCN(CCCCn2c(=O)[nH]c3ccccc3c2=O)CC1
12,O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2
13,N#CC(CCN1CCC(C(=O)ON2C(=O)CCC2=O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1
14,COC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1
15,O=C(O)CC(NC(=O)CP(=O)(O)O)C(=O)O
16,O=C1C(O)=C(C2CCCCC2)C(=O)c2ccccc21
17,COCCCN1CCN(c2ccccc2OC)CC1
18,CCCN(CCC)C1Cc2cccc3cc(O)cc(c23)C1
19,Cc1cc(OCCN(C)C)c(C(C)C)cc1OC(=O)OC(C)C
20,CCC(C)(CN(C)C)OC(=O)c1ccccc1
21,O=c1[nH]c(=O)n(Cl)c(=O)n1Cl
22,CNC(=O)Oc1ccccc1OC(C)C
23,CC(Cc1ccccc1)NC=O
24,COc1ccccc1OC[C@@H](O)CNC(C)C
25,CNCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CCC(C)C)C(=O)NC(C)(C)C)C(C)(C)C
26,CN(C)CCCN(C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
27,CS(=O)(=O)NCCN1CCC(CCC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1
28,O=C(O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1
29,COC(=O)c1cncn1[C@H](C)c1ccc(I)cc1
30,CC(c1noc2ccc(Cl)cc12)n1ccnc1
31,CO/N=C/[C@@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H]1N2C
32,O=C(Oc1cccc2cccnc12)c1ccccc1
33,O=C(CCCl)NCCc1ccccc1
34,CC[C@@H](O)/C=C/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O
35,CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1
36,C=CC(=C)CCC=C(C)C
37,C[n+]1ccc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c4csc(N)n4)[C@H]3[S+]([O-])C2)cc1
38,C[C@@H](C1CC1)N1Cc2cc(-c3cc(C(=O)N(C)C)no3)cc(Cl)c2C1=O
39,CCCCCCCC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C1CCCC1
40,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
41,CCCCCCCCCC[N+](C)(C)CCOC(=O)C12CC3CC(CC(C3)C1)C2
42,C[C@H](Oc1ccc(-c2nc(-c3ccc4[nH]cnc4c3)no2)cc1C(F)(F)F)C(F)(F)F
43,CS(=O)(=O)OCCNP1(=O)OCCCN1CCCl
44,CC(=O)NCC1(c2ccccc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
45,CO[C@@H](C)[C@H]1C[C@H](C)[C@H]([C@@H](C)/C=C/[C@@H]2CC[C@@H](C)[C@H](/C(=C/[C@H]3CCC[C@@H](C)[C@@H]3[C@H](C)C(=O)C3=C(O)COC3=O)CO)O2)O1
46,O=C1[N-]S(=O)(=O)c2ccccc21.O=C1[N-]S(=O)(=O)c2ccccc21.[Ca+2]
47,OC1(c2ccc(Cl)cc2)NC=N[n+]2ccc3ccccc3c21
48,N.O=C(O)c1ccccc1
49,Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1
50,Cc1cccc(C)c1NC(=O)NCCCNC(C)C
51,O=C(O)c1cccc(/C=C2/C[C@@H]3[C@@H](/C=C/[C@@H](O)C4CCCCC4)[C@H](O)C[C@@H]3O2)c1
